case_index,source_dir,trajectory_source_kind,project_slug,repo_dir_name,owner_repo,commit_version,case_key,project_dir,run_id,run_dir,manifest_path,context_path,executions_path,manifest_present,ok,project_attempt_count,project_log_count,total_repair_attempts,block_count,failed_block_count,first_failed_block,trajectory_classification,project_attempt_classification,not_one_shot_trajectory,not_one_shot_project_attempt,manifest_error,final_image,rollback_classification,block_count_analyzed,adjacent_rollback_count,non_adjacent_rollback_count,base_workspace_count,unknown_checkpoint_count,first_non_adjacent_block,first_non_adjacent_block_order,first_non_adjacent_target_block,first_non_adjacent_target_order,first_non_adjacent_skipped_blocks,rollback_edges
2,executionagent-runs-gpt4o,state_run,nestjs-nest,nest,nestjs/nest,845993d22a8c8be94986509fec4780027dfdbd53,nestjs/nest@845993d22a8c8be94986509fec4780027dfdbd53,executionagent-runs-gpt4o/projects/nestjs-nest/nest,executionagent-gpt4o-nest,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest/manifest.json,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest/context.json,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest/executions.jsonl,True,False,1,2,2,5,2,30-node-deps,failed_in_project_run,failed_in_project_run,True,True,block failed: 30-node-deps,pheragent-executionagent-gpt4o:executionagent-gpt4o-nest-eab793442b01-004-20-node-runtime-success,previous_block_only_rollback,5,3,0,1,0,,,,,,BASE->00-preflight | 00-preflight->10-system-packages:previous | 10-system-packages->20-node-runtime:previous | 20-node-runtime->30-node-deps:previous
3,executionagent-runs-gpt4o,state_run,msgpack-msgpack-c,msgpack-c,msgpack/msgpack-c,b0d379a6f29af7dd65423ff78a94de8948f01bd8,msgpack/msgpack-c@b0d379a6f29af7dd65423ff78a94de8948f01bd8,executionagent-runs-gpt4o/projects/msgpack-msgpack-c/msgpack-c,executionagent-gpt4o-msgpack-c,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c/manifest.json,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c/context.json,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c/executions.jsonl,True,False,1,2,1,5,3,20-native-build-config,failed_in_project_run,failed_in_project_run,True,True,"CMake Warning: Ignoring extra path from command line: "".."" CMake Error: The source directory ""/workspace/repo"" does not appear to contain CMakeLists.txt. Specify --help for usage, or press the help button on the CMake GUI.",pheragent-executionagent-gpt4o:executionagent-gpt4o-msgpack-c-370097d29b60-004-10-system-packages-repaired,previous_block_only_rollback,5,2,0,1,0,,,,,,BASE->00-preflight | 00-preflight->10-system-packages:previous | 10-system-packages->20-native-build-config:previous
4,executionagent-runs-gpt4o,state_run,facebook-react-native,react-native,facebook/react-native,0fabe263ccfae250695a0e96fe4ae924da82b533,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,executionagent-runs-gpt4o/projects/facebook-react-native/react-native,executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/manifest.json,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/context.json,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native/executions.jsonl,True,False,1,2,3,7,4,21-java-runtime,failed_in_project_run,failed_in_project_run,True,True,block failed: 21-java-runtime,pheragent-executionagent-gpt4o:executionagent-gpt4o-react-native-aaf3f9a16c22-006-20-node-runtime-success,previous_block_only_rollback,7,3,0,1,0,,,,,,BASE->00-preflight | 00-preflight->10-system-packages:previous | 10-system-packages->20-node-runtime:previous | 20-node-runtime->21-java-runtime:previous
5,executionagent-runs-gpt4o,state_run,pallets-flask,flask,pallets/flask,2579ce9f18e67ec3213c6eceb5240310ccd46af8,pallets/flask@2579ce9f18e67ec3213c6eceb5240310ccd46af8,executionagent-runs-gpt4o/projects/pallets-flask/flask,executionagent-gpt4o-flask,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask/manifest.json,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask/context.json,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask/executions.jsonl,True,False,1,2,1,5,4,10-system-packages,failed_in_project_run,failed_in_project_run,True,True,"b ...\nUnpacking python3.12 (3.12.3-1ubuntu0.13) ...\nSelecting previously unselected package libpython3-stdlib:amd64.\nPreparing to unpack .../5-libpython3-stdlib_3.12.3-0ubuntu2.1_amd64.deb ...\nUnpacking libpython3-stdlib:amd64 (3.12.3-0ubuntu2.1) ...\nSetting up python3-minimal (3.12.3-0ubuntu2.1) ...\nSelecting previously unselected package python3.\n(Reading database ... \n(Reading database ... 5%\n(Reading database ... 10%\n(Reading database ... 15%\n(Reading database ... 20%\n(Reading database ... 25%\n(Reading database ... 30%\n(Reading database ... 35%\n(Reading database ... 40%\n(Reading database ... 45%\n(Reading database ... 50%\n(Reading database ... 55%\n(Reading database ... 60%\n(Reading database ... 65%\n(Reading database ... 70%\n(Reading database ... 75%\n(Reading database ... 80%\n(Reading database ... 85%\n(Reading database ... 90%\n(Reading database ... 95%\n(Reading database ... 100%\n(Reading database ... 17271 files and directories currently installed.)\nPreparing to unpack .../0-python3_3.12.3-0ubuntu2.1_amd64.deb ...\nUnpacking python3 (3.12.3-0ubuntu2.1) ...\nSelecting previously unselected package python3-pkg-resources.\nPreparing to unpack .../1-python3-pkg-resources_68.1.2-2ubuntu1.2_all.deb ...\nUnpacking python3-pkg-resources (68.1.2-2ubuntu1.2) ...\nSelecting previously unselected package python3-setuptools.\nPreparing to unpack .../2-python3-setuptools_68.1.2-2ubuntu1.2_all.deb ...\nUnpacking python3-setuptools (68.1.2-2ubuntu1.2) ...\nSelecting previously unselected package python3-wheel.\nPreparing to unpack .../3-python3-wheel_0.42.0-2_all.deb ...\nUnpacking python3-wheel (0.42.0-2) ...\nSelecting previously unselected package python3-pip.\nPreparing to unpack .../4-python3-pip_24.0+dfsg-1ubuntu1.3_all.deb ...\nUnpacking python3-pip (24.0+dfsg-1ubuntu1.3) ...\nSelecting previously unselected package python3-pip-whl.\nPreparing to unpack .../5-python3-pip-whl_24.0+dfsg-1ubuntu1.3_all.deb ...\nUnpacking python3-pip-whl (24.0+dfsg-1ubuntu1.3) ...\nSelecting previously unselected package python3-setuptools-whl.\nPreparing to unpack .../6-python3-setuptools-whl_68.1.2-2ubuntu1.2_all.deb ...\nUnpacking python3-setuptools-whl (68.1.2-2ubuntu1.2) ...\nSelecting previously unselected package python3.12-venv.\nPreparing to unpack .../7-python3.12-venv_3.12.3-1ubuntu0.13_amd64.deb ...\nUnpacking python3.12-venv (3.12.3-1ubuntu0.13) ...\nSelecting previously unselected package python3-venv.\nPreparing to unpack .../8-python3-venv_3.12.3-0ubuntu2.1_amd64.deb ...\nUnpacking python3-venv (3.12.3-0ubuntu2.1) ...\nSetting up media-types (10.1.0) ...\nSetting up python3-setuptools-whl (68.1.2-2ubuntu1.2) ...\nSetting up python3-pip-whl (24.0+dfsg-1ubuntu1.3) ...\nSetting up tzdata (2026a-0ubuntu0.24.04.1) ...\n\nCurrent default time zone: 'Etc/UTC'\nLocal time is now: Wed Jun 24 07:52:01 UTC 2026.\nUniversal Time is now: Wed Jun 24 07:52:01 UTC 2026.\nRun 'dpkg-reconfigure l,",pheragent-executionagent-gpt4o:executionagent-gpt4o-flask-3c4cfd304e75-002-00-preflight-success,previous_block_only_rollback,5,1,0,1,0,,,,,,BASE->00-preflight | 00-preflight->10-system-packages:previous
7,executionagent-runs-gpt4o,state_run,ansible-ansible,ansible,ansible/ansible,9f42cefca6d1e6eefb6b806108d7da4368439a0f,ansible/ansible@9f42cefca6d1e6eefb6b806108d7da4368439a0f,executionagent-runs-gpt4o/projects/ansible-ansible/ansible,executionagent-gpt4o-ansible,executionagent-runs-gpt4o/state/ansible-ansible/ansible/runs/executionagent-gpt4o-ansible,executionagent-runs-gpt4o/state/ansible-ansible/ansible/runs/executionagent-gpt4o-ansible/manifest.json,executionagent-runs-gpt4o/state/ansible-ansible/ansible/runs/executionagent-gpt4o-ansible/context.json,executionagent-runs-gpt4o/state/ansible-ansible/ansible/runs/executionagent-gpt4o-ansible/executions.jsonl,True,False,1,2,0,5,2,30-python-deps,failed_in_project_run,failed_in_project_run,True,True,block failed: 30-python-deps,pheragent-executionagent-gpt4o:executionagent-gpt4o-ansible-8d21312ed2a0-004-20-python-runtime-success,previous_block_only_rollback,5,3,0,1,0,,,,,,BASE->00-preflight | 00-preflight->10-system-packages:previous | 10-system-packages->20-python-runtime:previous | 20-python-runtime->30-python-deps:previous
8,executionagent-runs-gpt4o,state_run,webpack-webpack,webpack,webpack/webpack,3c4319f30f573d68ef2e63826b4abcb6114886df,webpack/webpack@3c4319f30f573d68ef2e63826b4abcb6114886df,executionagent-runs-gpt4o/projects/webpack-webpack/webpack,executionagent-gpt4o-webpack,executionagent-runs-gpt4o/state/webpack-webpack/webpack/runs/executionagent-gpt4o-webpack,executionagent-runs-gpt4o/state/webpack-webpack/webpack/runs/executionagent-gpt4o-webpack/manifest.json,executionagent-runs-gpt4o/state/webpack-webpack/webpack/runs/executionagent-gpt4o-webpack/context.json,executionagent-runs-gpt4o/state/webpack-webpack/webpack/runs/executionagent-gpt4o-webpack/executions.jsonl,True,False,1,2,1,5,2,30-node-deps,failed_in_project_run,failed_in_project_run,True,True,block failed: 30-node-deps,pheragent-executionagent-gpt4o:executionagent-gpt4o-webpack-2f07efe87b00-005-20-node-runtime-repaired,previous_block_only_rollback,5,3,0,1,0,,,,,,BASE->00-preflight | 00-preflight->10-system-packages:previous | 10-system-packages->20-node-runtime:previous | 20-node-runtime->30-node-deps:previous
9,executionagent-runs-gpt4o,state_run,activiti-activiti,Activiti,Activiti/Activiti,fdc35a408e03da2e034a17a54968750d111b17e6,Activiti/Activiti@fdc35a408e03da2e034a17a54968750d111b17e6,executionagent-runs-gpt4o/projects/activiti-activiti/Activiti,executionagent-gpt4o-activiti,executionagent-runs-gpt4o/state/activiti-activiti/Activiti/runs/executionagent-gpt4o-activiti,executionagent-runs-gpt4o/state/activiti-activiti/Activiti/runs/executionagent-gpt4o-activiti/manifest.json,executionagent-runs-gpt4o/state/activiti-activiti/Activiti/runs/executionagent-gpt4o-activiti/context.json,executionagent-runs-gpt4o/state/activiti-activiti/Activiti/runs/executionagent-gpt4o-activiti/executions.jsonl,True,False,1,2,2,4,2,30-java-deps,failed_in_project_run,failed_in_project_run,True,True,"[pheragent] warming java dependencies\n[\u001b[1;31mERROR\u001b[m] Failed to execute goal on project \u001b[36mactiviti-api-runtime-shared\u001b[m: \u001b[1;31mCould not resolve dependencies for project org.activiti:activiti-api-runtime-shared:jar:8.8.0-SNAPSHOT: Could not find artifact org.activiti:activiti-api-model-shared:jar:8.8.0-SNAPSHOT in activiti-releases (https://artifacts.alfresco.com/nexus/content/repositories/activiti-releases)\u001b[m -> \u001b[1m[Help 1]\u001b[m\n[\u001b[1;31mERROR\u001b[m] \n[\u001b[1;31mERROR\u001b[m] To see the full stack trace of the errors, re-run Maven with the \u001b[1m-e\u001b[m switch.\n[\u001b[1;31mERROR\u001b[m] Re-run Maven using the \u001b[1m-X\u001b[m switch to enable full debug logging.\n[\u001b[1;31mERROR\u001b[m] \n[\u001b[1;31mERROR\u001b[m] For more information about the errors and possible solutions, please read the followin rovide /usr/bin/jwebserver (jwebserver) in auto mode\nupdate-alternatives: using /usr/lib/jvm/java-21-openjdk-amd64/bin/serialver to provide /usr/bin/serialver (serialver) in auto mode\nupdate-alternatives: using /usr/lib/jvm/java-21-openjdk-amd64/bin/jhsdb to provide /usr/bin/jhsdb (jhsdb) in auto mode\nSetting up openjdk-21-jdk:amd64 (21.0.11+10-1~24.04.2) ...\nupdate-alternatives: using /usr/lib/jvm/java-21-openjdk-amd64/bin/jconsole to provide /usr/bin/jconsole (jconsole) in auto mode\n[pheragent] checking java runtime\n\u001b[1mApache Maven 3.8.7\u001b[m\nMaven home: /usr/share/maven\nJava version: 21.0.11, vendor: Ubuntu, runtime: /usr/lib/jvm/java-21-openjdk-amd64\nDefault locale: en_US, platform encoding: UTF-8\nOS name: \""linux\"", version: \""6.8.0-110-generic\"", arch: \""amd64\"", family: \""unix\""\n",pheragent-executionagent-gpt4o:executionagent-gpt4o-activiti-94b884dfe747-005-20-java-runtime-repaired,previous_block_only_rollback,4,2,0,1,0,,,,,,BASE->00-preflight | 00-preflight->20-java-runtime:previous | 20-java-runtime->30-java-deps:previous
10,executionagent-runs-gpt4o,state_run,denoland-deno,deno,denoland/deno,952963cb42b20cd9469a8b0349fb53b15ef95d1f,denoland/deno@952963cb42b20cd9469a8b0349fb53b15ef95d1f,executionagent-runs-gpt4o/projects/denoland-deno/deno,executionagent-gpt4o-deno,executionagent-runs-gpt4o/state/denoland-deno/deno/runs/executionagent-gpt4o-deno,executionagent-runs-gpt4o/state/denoland-deno/deno/runs/executionagent-gpt4o-deno/manifest.json,executionagent-runs-gpt4o/state/denoland-deno/deno/runs/executionagent-gpt4o-deno/context.json,executionagent-runs-gpt4o/state/denoland-deno/deno/runs/executionagent-gpt4o-deno/executions.jsonl,True,False,1,2,1,4,2,30-rust-deps,failed_in_project_run,failed_in_project_run,True,True,"[pheragent] fetching rust dependencies\n\nerror: failed to load manifest for workspace member `/workspace/repo/bench_util`\n\nCaused by:\n failed to parse manifest at `/workspace/repo/bench_util/Cargo.toml`\n\nCaused by:\n feature `edition2024` is required\n\n The package requires the Cargo feature called `edition2024`, but that feature is not stabilized in this version of Cargo (1.75.0).\n Consider adding `cargo-features = [\""edition2024\""]` to the top of Cargo.toml (above the [package] table) to tell Cargo you are opting in to use this unstable feature.\n See https://doc.rust-lang.org/nightly/cargo/reference/unstable.html#edition-2024 for more information about the status of this feature.\nerror: failed to load manifest for workspace member `/workspace/repo/bench_util`\n\nCaused by:\n failed to parse manifest at `/workspace/repo/bench_util/Cargo.toml`\n\nCaused by:\n feature `edition2024` is required\n\n The package requires the Cargo feature called `edition2024`, but that feature is not stabilized in this version of Cargo (1.75.0).\n Consider adding `cargo-features = [\""edition2024\""]` to the top of Cargo.toml (above the \""0.13.1\""\nmd-5 = \""0.10.5\""\nmd4 = \""0.10.2\""\np224 = { version = \""0.13.0\"", features = [\""ecdh\""] }\np256 = { version = \""0.13.2\"", features = [\""ecdh\"", \""jwk\""] }\np384 = { version = \""0.13.0\"", features = [\""ecdh\"", \""jwk\""] }\np521 = \""0.13.3\""\npbkdf2 = \""0.12.1\""\npkcs8 = \""0.10.2\""\nripemd = \""0.1.3\""\nrsa = { version = \""0.9.3\"", default-features = false, features = [\""std\"", \""pem\"", \""hazmat\""] } # hazmat needed for PrehashSigner in ext/node\nscrypt = \""0.11.0\""\nsec1 = \""0.7\""\nsha1 = { version = \""0.10.6\"", features = [\""oid\""] }\nsha2 = { version = \""0.10.8\"", features = [\""oid\""] }\nsha3 = \""0.10.8\""\nsignature = \""2.1\""\nsm3 = \""0.4.2\""\nspki = \""0.7.2\""\nx25519-dalek = \""2.0.0\""\nx509-parser = \""0.15.0\""\n\n# ffi\ncranelift = \""0.116\""\ncranelift-native = \""0.116\""\ndlopen2 = \""0.6.1\""\nlibffi = \""=4.1.2\""\nlibffi-sys = \""=3.3.3\""\nmemmap2 = \""0.9\""\n\n# napi\nlibloading = \""0.7\""\nlibuv-sys-lite = \""=1.48.2\""\nnapi-build = \""1\""\nnapi-sys = { version = \""=2.2.2\"", default-features = false }\n\n# webgpu\nraw-window-handle = \""0.6.0\""\nwgpu-core = \""24.0.0\""\nwgpu-types = \""24.0.0\""\n\n# macros\nquote = \""1\""\nsyn = { version = \""2\"", features = [\""full\"", \""extra-traits\""] }\n\n# unix deps\nnix = \""=0.27.1\""\ntokio-vsock = \""0.7\""\n\n# windows deps\njunction = \""=1.2.0\""\nwin32job = \""2\""\nwinapi = \""=0.3.9\""\nwindows-sys = { version = \""0.59.0\"", features = [\""Win32_Foundation\"", \""Win32_Media\"", \""Win32_Storage_FileSystem\"", \""Win32_System_IO\"", \""Win32_System_WindowsProgramming\"", \""Wdk\"", \""Wdk_System\"", \""Wdk_System_SystemInformation\"", \""Win32_Security\"", \""Win32_System_Pipes\"", \""Wdk_Storage_FileSystem\"", \""Win32_System_Registry\"", \""Win32_System_Kernel\"", \""Win32_System_Threading\"", \""Win32_UI\"", \""Win32_UI_Shell\""] }\nwinres = \""=0.1.12\""\n\n[profile.release]\ncodegen-units = 1\nincremental = true\nlto = true\nopt-level = 'z' # Optimize for size\nsplit-debuginfo = \""packed\""\ndebug = \""line-tables-only\""\n\n# Build release with debug symbols: cargo build --profile=release-with-debug\n[profile.release-with-debug]\ninherits = \""release-lite\""\ndebug = true\n\n# Faster to compile than `release` but with similar performance.\n[profile.release-lite]\ninherits = \""release\""\ncodegen-units = 128\nlto = \""thin\""\n\n# Key generation is too slow on `debug`\n[profile.dev.package.num-bigint-dig]\nopt-level = 3\n\n# rusty-v8 needs at least -O1 to not miscompile\n[profile.dev.package.v8]\nopt-level = 1\n\n# speeds up deno compile tests a lot\n[profile.dev.package.libsui]\nopt-level = 3\n\n[profile.dev.package.sha2]\nopt-level = 3\n\n[profile.release.package.async-compression]\nopt-level = 3\n[profile.release.package.base64-simd]\nopt-level = 3\n[profile.release.package.brotli]\nopt-level = 3\n[profile.release.package.brotli-decompressor]\nopt-level = 3\n[profile.release.package.bytes]\nopt-level = 3\n[profile.release.package.deno_bench_util]\nopt-level = 3\n[profile.release.package.deno_core]\nopt-level = 3\n[profile.release.package.deno_crypto]\nopt-level = 3\n[profile.release.package.deno_fetch]\nopt-level = 3\n[profile.release.package.deno_ffi]\nopt-level = 3\n[profile.release.package.deno_http]\nopt-level = 3\n[profile.release.package.deno_napi]\nopt-level = 3\n[profile.release.package.deno_net]\nopt-level = 3\n[profile.release.package.deno_node]\nopt-level = 3\n[profile.release.package.deno_runtime]\nopt-level = 3\n[profile.release.package.deno_tls]\nopt-level = 3\n[profile.release.package.deno_web]\nopt-level = 3\n[profile.release.package.deno_process]\nopt-level = 3\n[profile.release.package.deno_websocket]\nopt-level = 3\n[profile.release.package.fastwebsockets]\nopt-level = 3\n[profile.release.package.flate2]\nopt-level = 3\n[profile.release.package.futures-util]\nopt-level = 3\n[profile.release.package.futures-io]\nopt-level = 3\n[profile.release.package.futures-channel]\nopt-level = 3\n[profile.release.package.futures-sink]\nopt-level = 3\n[profile.release.package.futures-task]\nopt-level = 3\n[profile.release.package.futures-core]\nopt-level = 3\n[profile.release.package.hyper]\nopt-level = 3\n[profile.release.package.miniz_oxide]\nopt-level = 3\n[profile.release.package.num-bigint-dig]\nopt-level = 3\n[profile.release.package.rand]\nopt-level = 3\n[profile.release.package.serde]\nopt-level = 3\n[profile.release.package.serde_v8]\nopt-level = 3\n[profile.release.package.libsui]\nopt-level = 3\n[profile.release.package.test_napi]\nopt-level = 3\n[profile.release.package.tokio]\nopt-level = 3\n[profile.release.package.url]\nopt-level = 3\n[profile.release.package.v8]\nopt-level = 3\n[profile.release.package.zstd]\nopt-level = 3\n[profile.release.package.zstd-sys]\nopt-level = 3\n[profile.release.package.http]\nopt-level = 3\n[profile.release.package.http-body]\nopt-level = 3\n[profile.release.package.httparse]\nopt-level = 3\n[profile.release.package.mio]\nopt-level = 3\n[profile.release.package.fnv]\nopt-level = 3\n[profile.release.package.hyper-util]\nopt-level = 3\n[profile.release.package.httpdate]\nopt-level = 3\n[profile.release.package.deno_unsync]\nopt-level = 3\n[profile.release.package.deno_semver]\nopt-level = 3\n[profile.release.package.deno_npm]\nopt-level = 3\n[profile.release.package.deno_lockfile]\nopt-level = 3\n[profile.release.package.deno_npm_cache]\nopt-level = 3\n",pheragent-executionagent-gpt4o:executionagent-gpt4o-deno-057cf3dc3829-004-20-rust-runtime-success,previous_block_only_rollback,4,2,0,1,0,,,,,,BASE->00-preflight | 00-preflight->20-rust-runtime:previous | 20-rust-runtime->30-rust-deps:previous
11,executionagent-runs-gpt4o,state_run,apache-flink,flink,apache/flink,7ba97419d200adef672b67c52c2b5a79f277cfda,apache/flink@7ba97419d200adef672b67c52c2b5a79f277cfda,executionagent-runs-gpt4o/projects/apache-flink/flink,executionagent-gpt4o-flink,executionagent-runs-gpt4o/state/apache-flink/flink/runs/executionagent-gpt4o-flink,executionagent-runs-gpt4o/state/apache-flink/flink/runs/executionagent-gpt4o-flink/manifest.json,executionagent-runs-gpt4o/state/apache-flink/flink/runs/executionagent-gpt4o-flink/context.json,executionagent-runs-gpt4o/state/apache-flink/flink/runs/executionagent-gpt4o-flink/executions.jsonl,True,False,1,2,2,4,2,30-java-deps,failed_in_project_run,failed_in_project_run,True,True,"[\u001b[1;31mERROR\u001b[m] Rule 0: org.apache.maven.plugins.enforcer.RequireMavenVersion failed with message:\nDetected Maven Version: 3.8.7 is not in the allowed range [3.8.6,3.8.6].\n[\u001b[1;31mERROR\u001b[m] Failed to execute goal \u001b[32morg.apache.maven.plugins:maven-enforcer-plugin:3.1.0:enforce\u001b[m \u001b[1m(enforce-maven)\u001b[m on project \u001b[36mflink-parent\u001b[m: \u001b[1;31mSome Enforcer rules have failed. Look above for specific messages explaining why the rule failed.\u001b[m -> \u001b[1m[Help 1]\u001b[m\n[\u001b[1;31mERROR\u001b[m] \n[\u001b[1;31mERROR\u001b[m] To see the full stack trace of the errors, re-run Maven with the \u001b[1m-e\u001b[m switch.\n[\u001b[1;31mERROR\u001b[m] Re-run Maven using the \u001b[1m-X\u001b[m switch to enable full debug logging.\n[\u001b[1; mvn",pheragent-executionagent-gpt4o:executionagent-gpt4o-flink-01c94593eefc-005-20-java-runtime-repaired,previous_block_only_rollback,4,2,0,1,0,,,,,,BASE->00-preflight | 00-preflight->20-java-runtime:previous | 20-java-runtime->30-java-deps:previous
12,executionagent-runs-gpt4o,state_run,opencv-opencv,opencv,opencv/opencv,579dfb6e025c62acb16b7b3e1fe953030df68d40,opencv/opencv@579dfb6e025c62acb16b7b3e1fe953030df68d40,executionagent-runs-gpt4o/projects/opencv-opencv/opencv,executionagent-gpt4o-opencv,executionagent-runs-gpt4o/state/opencv-opencv/opencv/runs/executionagent-gpt4o-opencv,executionagent-runs-gpt4o/state/opencv-opencv/opencv/runs/executionagent-gpt4o-opencv/manifest.json,executionagent-runs-gpt4o/state/opencv-opencv/opencv/runs/executionagent-gpt4o-opencv/context.json,executionagent-runs-gpt4o/state/opencv-opencv/opencv/runs/executionagent-gpt4o-opencv/executions.jsonl,True,False,1,2,2,4,1,30-project-dependencies,failed_in_project_run,failed_in_project_run,True,True,block failed: 30-project-dependencies,pheragent-executionagent-gpt4o:executionagent-gpt4o-opencv-804bc03f3abb-005-20-runtime-toolchain-repaired,previous_block_only_rollback,4,3,0,1,0,,,,,,BASE->00-preflight | 00-preflight->10-system-packages:previous | 10-system-packages->20-runtime-toolchain:previous | 20-runtime-toolchain->30-project-dependencies:previous
