category,category_count,category_percent,project,source_dir,failed_block,root_cause,evidence
Dependency/runtime constraint conflict,117,52.5%,apache/flink,executionagent-runs-gpt4o,30-java-deps,Build frontend version is outside the repository-enforced range,Maven enforcer rejects Maven 3.8.7 because the project requires 3.8.6.
Dependency/runtime constraint conflict,117,52.5%,Activiti/Activiti,executionagent-runs-gpt4o,30-java-deps,Repository depends on mutable/unavailable snapshot artifacts,Dependency resolution cannot find an internal 8.8.0-SNAPSHOT artifact in the configured remote repository.
Dependency/runtime constraint conflict,117,52.5%,denoland/deno,executionagent-runs-gpt4o,30-rust-deps,Project metadata requires a newer language/build-system feature than the selected runtime supports,"The workspace manifest requires edition2024, but the available toolchain does not support that feature."
Dependency/runtime constraint conflict,117,52.5%,keras-team/keras,executionagent-runs-gpt4o,01-python-deps,Included dependency files and pinned package graph are not reconstructed correctly,The setup attempts to install a sanitized requirements file but misses an included requirements fragment.
Dependency/runtime constraint conflict,117,52.5%,pi-nexus-autonomous-banking-network,/sdb-disk/lix/love/pheragent/projects-repo2run,02-language-deps,Package solver cannot satisfy declared version constraints in the selected runtime,The failure is classified as version_or_solver_conflict during dependency installation.
Validation/test-command assumption,45,20.2%,pandas-dev/pandas,executionagent-runs-gpt54,03-build-test-prep,Validation depends on additional test/build preparation beyond base dependency installation,"The run reaches build-test-prep but fails later at test-tooling, indicating the validation path has unmet test-side preconditions."
Validation/test-command assumption,45,20.2%,scikit-learn/scikit-learn,executionagent-runs-gpt54,03-build-test-prep,Validation expects project-specific build/test preparation that is not fully materialized,The failure is reported at build-test-prep/test-tooling rather than at the initial package installation step.
Validation/test-command assumption,45,20.2%,nvbn/thefuck,setupbench-runs-all-gpt-4.1-2rerun,04-pytest-collect,Test collection assumes a project-specific runnable test context,"The failure occurs at pytest collection, showing that the validation command needs additional test-discovery state."
Container/replay orchestration failure,31,13.9%,TA-Lib/ta-lib-python,setupbench-runs-all-gpt-4.1-2rerun,(none),Container namespace/state conflict prevents the run from starting cleanly,Docker reports that the target container name is already in use.
Container/replay orchestration failure,31,13.9%,python-hyper/rfc3986,setupbench-runs-all-gpt-4.1,00-preflight,Checkpointing/replay infrastructure loses the expected container,Docker commit fails because the expected container no longer exists.
Container/replay orchestration failure,31,13.9%,servo/servo,setupbench-runs-all-gpt-4.1,(none),Container workdir preparation fails before environment repair can be applied,The runtime cannot prepare the container workdir and receives a Docker 409 response.
Missing runtime/build/system tooling,22,9.9%,facebook/react-native,executionagent-runs-gpt4o,21-java-runtime,Required build/runtime toolchain is not installed before dependency validation,The failed block is the Java runtime stage.
Missing runtime/build/system tooling,22,9.9%,TA-Lib/ta-lib-python,setupbench-runs-all-gpt-4.1,01-system-deps,System utility required by the setup recipe is absent,The setup downloads a source archive but fails because unzip is not installed.
Missing runtime/build/system tooling,22,9.9%,IS-Fusion,/sdb-disk/lix/love/pheragent/projects-repo2run,02-language-deps,The repair assumes an activated runtime environment that was never created,"The generated block invokes ./.venv/bin/python, but the virtual environment executable is missing."
Incomplete/non-replayable setup artifact,8,3.6%,msgpack/msgpack-c,executionagent-runs-gpt4o,20-native-build-config,Generated setup uses the wrong repository layout/workdir and cannot be replayed,"CMake is invoked in /workspace/repo, but that directory does not contain the expected CMakeLists.txt."
Incomplete/non-replayable setup artifact,8,3.6%,openai/whisper,setupbench-runs-all-gpt-4.1-2rerun,20-runtime-toolchain,"Trace/artifact is incomplete, so the final failure cannot be reconstructed from manifest data",The run is recorded as missing manifest for the failed runtime-toolchain block.
Incomplete/non-replayable setup artifact,8,3.6%,LazyLLM,projects-repo2run,(none),Planner/repair generation fails before producing a durable setup artifact,"The planner request fails with a connection error, leaving no complete replayable repair."
