source_dir,project_slug,owner_repo,case_key,run_id,run_dir,ok,final_status,manifest_present,reported_failed_block,failure_category,failure_subcategory,error_signature,error_excerpt,evidence_source
executionagent-runs-gpt4o,keras-team-keras,keras-team/keras,keras-team/keras@12401004073345c30917d43f0a5ba3a473ebe8b1,executionagent-gpt4o-keras,executionagent-runs-gpt4o/state/keras-team-keras/keras/runs/executionagent-gpt4o-keras,False,failed,True,01-python-deps,python_dependency_resolution,python-deps,ing database ... 30%\n(Reading database ... 35%\n(Reading database ... 40%\n(Reading database ... preflight-success,ing database ... 30%\n(Reading database ... 35%\n(Reading database ... 40%\n(Reading database ... preflight-success,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,nestjs-nest,nestjs/nest,nestjs/nest@845993d22a8c8be94986509fec4780027dfdbd53,executionagent-gpt4o-nest,executionagent-runs-gpt4o/state/nestjs-nest/nest/runs/executionagent-gpt4o-nest,False,failed,True,30-node-deps,node_dependency_or_runtime,node-deps,block failed: 30-node-deps,block failed: 30-node-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,msgpack-msgpack-c,msgpack/msgpack-c,msgpack/msgpack-c@b0d379a6f29af7dd65423ff78a94de8948f01bd8,executionagent-gpt4o-msgpack-c,executionagent-runs-gpt4o/state/msgpack-msgpack-c/msgpack-c/runs/executionagent-gpt4o-msgpack-c,False,failed,True,20-native-build-config,repo_layout_or_wrong_workdir,missing_expected_build_file,"CMake Warning: Ignoring extra path from command line: "".."" CMake Error: The source directory ""/workspace/repo"" does not appear to contain CMakeLists.txt. Specify --help for usage, or press the help button on the CMake GUI.","CMake Warning: Ignoring extra path from command line: "".."" CMake Error: The source directory ""/workspace/repo"" does not appear to contain CMakeLists.txt. Specify --help for usage, or press the help button on the CMake GUI.",statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,facebook-react-native,facebook/react-native,facebook/react-native@0fabe263ccfae250695a0e96fe4ae924da82b533,executionagent-gpt4o-react-native,executionagent-runs-gpt4o/state/facebook-react-native/react-native/runs/executionagent-gpt4o-react-native,False,failed,True,21-java-runtime,java_runtime_or_dependency,java-runtime,block failed: 21-java-runtime,block failed: 21-java-runtime,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,pallets-flask,pallets/flask,pallets/flask@2579ce9f18e67ec3213c6eceb5240310ccd46af8,executionagent-gpt4o-flask,executionagent-runs-gpt4o/state/pallets-flask/flask/runs/executionagent-gpt4o-flask,False,failed,True,10-system-packages,python_runtime_or_venv,venv_or_pip_or_tempdir,b ...\nUnpacking python3.12 (3.12.3-1ubuntu0.13) ...\nSelecting previously unselected package libpython3-stdlib:amd64.\nPreparing to unpack .../5-libpython3-stdlib_3.12.3-0ubuntu2.1_amd64.deb ...\nUnpacking libpython3-stdlib:amd64 (3.12.3-0ubuntu2.1) ...\nSetting up python3-mi...,b ...\nUnpacking python3.12 (3.12.3-1ubuntu0.13) ...\nSelecting previously unselected package libpython3-stdlib:amd64.\nPreparing to unpack .../5-libpython3-stdlib_3.12.3-0ubuntu2.1_amd64.deb ...\nUnpacking libpython3-stdlib:amd64 (3.12.3-0ubuntu2.1) ...\nSetting up python3-minimal (3.12.3-0ubuntu2.1) ...\nSelecting previously unselected package python3.\n(Reading database ... \n(Reading database ... 5%\n(Reading database ... 10%\n(Reading database ... 15%\n(Reading database ... 20%\n(Reading database ... 25%\n(Reading database ... 30%\n(Reading database ... 35%\n(Reading database ... 40%\n(Reading database ... 45%\n(Reading database ... 50%\n(Reading database ... 55%\n(Reading database ....,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,google-guava,google/guava,google/guava@bcc93d2336071021352a39cb8bd7227bcf537182,executionagent-gpt4o-guava,executionagent-runs-gpt4o/state/google-guava/guava/runs/executionagent-gpt4o-guava,False,failed,True,01-java-deps,java_runtime_or_dependency,java-deps,d package libmaven3-core-java. Preparing to unpack .../28-libmaven3-core-java_3.8.7-2_all.deb ... Unpacking libmaven3-core-java (3.8.7-2) ... Selecting previously unselected package libwagon-file-java. Preparing to unpack .../29-libwagon-file-java_3.5.3-1_all.deb ... Unpacking...,d package libmaven3-core-java. Preparing to unpack .../28-libmaven3-core-java_3.8.7-2_all.deb ... Unpacking libmaven3-core-java (3.8.7-2) ... Selecting previously unselected package libwagon-file-java. Preparing to unpack .../29-libwagon-file-java_3.5.3-1_all.deb ... Unpacking libwagon-file-java (3.5.3-1) ... Selecting previously unselected package libwagon-http-shaded-java. Preparing to unpack .../30-libwagon-http-shaded-java_3.5.3-1_all.deb ... Unpacking libwagon-http-shaded-java (3.5.3-1) ... Selecting previously unselected package maven. Preparing to unpack .../31-maven_3.8.7-2_all.deb ... Unpacking maven (3.8.7-2) ... Setting up libslf4j-java (1.7.32-1) ... Setting up libplexus-utils...,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,ansible-ansible,ansible/ansible,ansible/ansible@9f42cefca6d1e6eefb6b806108d7da4368439a0f,executionagent-gpt4o-ansible,executionagent-runs-gpt4o/state/ansible-ansible/ansible/runs/executionagent-gpt4o-ansible,False,failed,True,30-python-deps,python_dependency_resolution,python-deps,block failed: 30-python-deps,block failed: 30-python-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,webpack-webpack,webpack/webpack,webpack/webpack@3c4319f30f573d68ef2e63826b4abcb6114886df,executionagent-gpt4o-webpack,executionagent-runs-gpt4o/state/webpack-webpack/webpack/runs/executionagent-gpt4o-webpack,False,failed,True,30-node-deps,node_dependency_or_runtime,node-deps,block failed: 30-node-deps,block failed: 30-node-deps,statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,activiti-activiti,Activiti/Activiti,Activiti/Activiti@fdc35a408e03da2e034a17a54968750d111b17e6,executionagent-gpt4o-activiti,executionagent-runs-gpt4o/state/activiti-activiti/Activiti/runs/executionagent-gpt4o-activiti,False,failed,True,30-java-deps,java_runtime_or_dependency,java-deps,[pheragent] warming java dependencies\n[\u001b[1;31mERROR\u001b[m] Failed to execute goal on project \u001b[36mactiviti-api-runtime-shared\u001b[m: \u001b[1;31mCould not resolve dependencies for project org.activiti:activiti-api-runtime-shared:jar:8.8.0-SNAPSHOT: Could not fin...,"[pheragent] warming java dependencies\n[\u001b[1;31mERROR\u001b[m] Failed to execute goal on project \u001b[36mactiviti-api-runtime-shared\u001b[m: \u001b[1;31mCould not resolve dependencies for project org.activiti:activiti-api-runtime-shared:jar:8.8.0-SNAPSHOT: Could not find artifact org.activiti:activiti-api-model-shared:jar:8.8.0-SNAPSHOT in activiti-releases (https://artifacts.alfresco.com/nexus/content/repositories/activiti-releases)\u001b[m -> \u001b[1m[Help 1]\u001b[m\n[\u001b[1;31mERROR\u001b[m] \n[\u001b[1;31mERROR\u001b[m] To see the full stack trace of the errors, re-run Maven with the \u001b[1m-e\u001b[m switch.\n[\u001b[1;31mERROR\u001b[m] Re-run Maven using the \u001b[1m-X...",statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,denoland-deno,denoland/deno,denoland/deno@952963cb42b20cd9469a8b0349fb53b15ef95d1f,executionagent-gpt4o-deno,executionagent-runs-gpt4o/state/denoland-deno/deno/runs/executionagent-gpt4o-deno,False,failed,True,30-rust-deps,native_build_or_toolchain,rust-deps,[pheragent] fetching rust dependencies\n\nerror: failed to load manifest for workspace member `/workspace/repo/bench_util`\n\nCaused by:\n failed to parse manifest at `/workspace/repo/bench_util/Cargo.toml`\n\nCaused by:\n feature `edition2024` is required\n\n The package requ...,"[pheragent] fetching rust dependencies\n\nerror: failed to load manifest for workspace member `/workspace/repo/bench_util`\n\nCaused by:\n failed to parse manifest at `/workspace/repo/bench_util/Cargo.toml`\n\nCaused by:\n feature `edition2024` is required\n\n The package requires the Cargo feature called `edition2024`, but that feature is not stabilized in this version of Cargo (1.75.0).\n Consider adding `cargo-features = [\""edition2024\""]` to the top of Cargo.toml (above the [package] table) to tell Cargo you are opting in to use this unstable feature.\n See https://doc.rust-lang.org/nightly/cargo/reference/unstable.html#edition-2024 for more information about the status of this featur...",statistic/all_trajectory_runs.csv manifest_error + first_failed_block
executionagent-runs-gpt4o,apache-flink,apache/flink,apache/flink@7ba97419d200adef672b67c52c2b5a79f277cfda,executionagent-gpt4o-flink,executionagent-runs-gpt4o/state/apache-flink/flink/runs/executionagent-gpt4o-flink,False,failed,True,30-java-deps,java_runtime_or_dependency,java-deps,"[\u001b[1;31mERROR\u001b[m] Rule 0: org.apache.maven.plugins.enforcer.RequireMavenVersion failed with message:\nDetected Maven Version: 3.8.7 is not in the allowed range [3.8.6,3.8.6].\n[\u001b[1;31mERROR\u001b[m] Failed to execute goal \u001b[32morg.apache.maven.plugins:maven...","[\u001b[1;31mERROR\u001b[m] Rule 0: org.apache.maven.plugins.enforcer.RequireMavenVersion failed with message:\nDetected Maven Version: 3.8.7 is not in the allowed range [3.8.6,3.8.6].\n[\u001b[1;31mERROR\u001b[m] Failed to execute goal \u001b[32morg.apache.maven.plugins:maven-enforcer-plugin:3.1.0:enforce\u001b[m \u001b[1m(enforce-maven)\u001b[m on project \u001b[36mflink-parent\u001b[m: \u001b[1;31mSome Enforcer rules have failed. Look above for specific messages explaining why the rule failed.\u001b[m -> \u001b[1m[Help 1]\u001b[m\n[\u001b[1;31mERROR\u001b[m] \n[\u001b[1;31mERROR\u001b[m] To see the full stack trace of the errors, re-run Maven with the \u001b[1m-e\u001b[m switch.\n[\u00...",statistic/all_trajectory_runs.csv manifest_error + first_failed_block
